log | 2022-09-07 23:04 | Loaded commands/blacklist.js
log | 2022-09-07 23:04 | Loaded commands/blacklisters.js
log | 2022-09-07 23:04 | Loaded commands/cameos.js
log | 2022-09-07 23:04 | Loaded commands/community.js
log | 2022-09-07 23:04 | Loaded commands/deepl.js
log | 2022-09-07 23:04 | Loaded commands/filter.js
log | 2022-09-07 23:04 | Loaded commands/gossip.js
log | 2022-09-07 23:04 | Loaded commands/list.js
log | 2022-09-07 23:04 | Loaded commands/log.js
log | 2022-09-07 23:04 | Loaded commands/logChannel.js
log | 2022-09-07 23:04 | Loaded commands/mods.js
log | 2022-09-07 23:04 | Loaded commands/relay.js
log | 2022-09-07 23:04 | Loaded commands/run.js
log | 2022-09-07 23:04 | Loaded commands/threads.js
log | 2022-09-07 23:04 | Loaded commands/tlhelp.js
log | 2022-09-07 23:04 | Loaded commands/twitcast.js
log | 2022-09-07 23:04 | Loaded commands/unblacklist.js
log | 2022-09-07 23:04 | Loaded commands/viewblacklist.js
log | 2022-09-07 23:04 | Loaded commands/youtube.js
log | 2022-09-07 23:04 | Loaded 20 commands.
log | 2022-09-07 23:10 | Loaded commands/admins.js
log | 2022-09-07 23:10 | Loaded commands/blacklist.js
log | 2022-09-07 23:10 | Loaded commands/blacklisters.js
log | 2022-09-07 23:10 | Loaded commands/cameos.js
log | 2022-09-07 23:10 | Loaded commands/community.js
log | 2022-09-07 23:10 | Loaded commands/deepl.js
log | 2022-09-07 23:10 | Loaded commands/filter.js
log | 2022-09-07 23:10 | Loaded commands/gossip.js
log | 2022-09-07 23:10 | Loaded commands/list.js
log | 2022-09-07 23:10 | Loaded commands/log.js
log | 2022-09-07 23:10 | Loaded commands/logChannel.js
log | 2022-09-07 23:10 | Loaded commands/mods.js
log | 2022-09-07 23:10 | Loaded commands/relay.js
log | 2022-09-07 23:10 | Loaded commands/run.js
log | 2022-09-07 23:10 | Loaded commands/threads.js
log | 2022-09-07 23:10 | Loaded commands/tlhelp.js
log | 2022-09-07 23:10 | Loaded commands/twitcast.js
log | 2022-09-07 23:10 | Loaded commands/unblacklist.js
log | 2022-09-07 23:10 | Loaded commands/viewblacklist.js
log | 2022-09-07 23:10 | Loaded commands/youtube.js
log | 2022-09-07 23:10 | Loaded 19 commands.
log | 2022-09-07 23:10 | Loaded events/error.js
log | 2022-09-07 23:10 | Loaded events/guildDelete.js
log | 2022-09-07 23:10 | Loaded events/guildCreate.js
log | 2022-09-07 23:10 | Loaded events/interactionCreate.js
log | 2022-09-07 23:10 | Loaded events/messageDelete.js
log | 2022-09-07 23:10 | Loaded events/rateLimit.js
log | 2022-09-07 23:10 | Loaded events/ready.js
log | 2022-09-07 23:10 | Loaded 7 events.
log | 2022-09-07 23:10 | Loaded commands/admins.js
log | 2022-09-07 23:10 | Loaded commands/blacklist.js
log | 2022-09-07 23:10 | Loaded commands/blacklisters.js
log | 2022-09-07 23:10 | Loaded commands/cameos.js
log | 2022-09-07 23:10 | Loaded commands/community.js
log | 2022-09-07 23:10 | Loaded commands/deepl.js
